14:8:37,40600,5632,1649,24,
14:8:38,40700,5642,1660,24,
14:8:38,40800,5649,1664,24,
14:8:38,40900,5667,1668,24,
14:8:38,41000,5677,1675,24,
14:8:38,41100,5686,1679,24,
14:8:38,41200,5702,1687,24,
14:8:38,41300,5720,1696,24,
14:8:38,41400,5734,1696,24,
14:8:38,41500,5754,1701,24,
14:8:38,41600,5772,1704,24,
14:8:38,41700,5791,1713,24,
14:8:38,41800,5799,1717,24,
14:8:38,41900,5810,1721,24,
14:8:38,42000,5818,1724,24,
14:8:38,42100,5840,1727,24,
14:8:38,42200,5855,1736,24,
14:8:38,42300,5870,1740,24,
14:8:38,42400,5879,1743,24,
14:8:38,42500,5888,1748,24,
14:8:38,42600,5901,1752,24,
14:8:38,42700,5919,1754,24,
14:8:39,42800,5929,1756,24,
14:8:39,42900,5955,1766,24,
14:8:39,43000,5970,1768,24,
14:8:39,43100,5983,1770,24,
14:8:39,43200,5999,1777,24,
14:8:39,43300,6018,1783,24,
14:8:39,43400,6029,1787,24,
14:8:39,43500,6040,1793,24,
14:8:39,43600,6049,1799,24,
14:8:39,43700,6069,1801,26,
14:8:39,43800,6084,1808,26,
14:8:39,43900,6102,1812,26,
14:8:39,44000,6114,1816,26,
14:8:39,44100,6134,1821,26,
14:8:39,44200,6147,1826,26,
14:8:39,44300,6156,1830,26,
14:8:39,44400,6167,1833,26,
14:8:39,44500,6186,1837,26,
14:8:39,44600,6196,1843,26,
14:8:39,44700,6211,1850,26,
14:8:40,44800,6222,1853,26,
14:8:40,44900,6243,1854,26,
14:8:40,45000,6261,1858,26,
14:8:40,45100,6276,1861,26,
14:8:40,45200,6295,1865,26,
14:8:40,45300,6313,1870,26,
14:8:40,45400,6323,1874,26,
14:8:40,45500,6336,1878,26,
14:8:40,45600,6346,1879,26,
14:8:40,45700,6361,1881,26,
14:8:40,45800,6371,1881,26,
14:8:40,45900,6377,1889,26,
14:8:40,46000,6386,1893,26,
14:8:40,46100,6410,1895,26,
14:8:40,46200,6420,1898,26,
14:8:40,46300,6433,1901,26,
14:8:40,46400,6441,1902,26,
14:8:40,46500,6454,1911,26,
14:8:40,46600,6463,1914,26,
14:8:40,46700,6475,1917,26,
14:8:40,46800,6483,1919,28,
14:8:41,46900,6500,1922,28,
14:8:41,47000,6513,1925,28,
14:8:41,47100,6523,1928,28,
14:8:41,47200,6532,1930,30,
14:8:41,47300,6547,1931,30,
14:8:41,47400,6554,1936,30,
14:8:41,47500,6561,1943,30,
14:8:41,47600,6575,1946,30,
14:8:41,47700,6596,1952,30,
14:8:41,47800,6610,1954,32,
14:8:41,47900,6622,1958,32,
14:8:41,48000,6633,1959,32,
14:8:41,48100,6648,1964,32,
14:8:41,48200,6658,1970,32,
14:8:41,48300,6669,1975,32,
14:8:41,48400,6677,1978,32,
14:8:41,48500,6694,1983,32,
14:8:41,48600,6702,1986,32,
14:8:41,48700,6718,1989,32,
14:8:41,48800,6727,1993,32,
14:8:41,48900,6744,1995,32,
14:8:42,49000,6762,2001,32,
14:8:42,49100,6773,2005,32,
14:8:42,49200,6787,2007,32,
14:8:42,49300,6802,2015,32,
14:8:42,49400,6811,2017,32,
14:8:42,49500,6819,2023,32,
14:8:42,49600,6830,2026,32,
14:8:42,49700,6844,2035,32,
14:8:42,49800,6856,2041,32,
14:8:42,49900,6865,2043,32,
14:8:42,50000,6875,2047,32,
14:8:42,50100,6893,2052,32,
14:8:42,50200,6906,2058,32,
14:8:42,50300,6919,2061,34,
14:8:42,50400,6933,2065,36,
14:8:42,50500,6955,2071,36,
14:8:42,50600,6976,2075,36,
14:8:42,50700,6984,2080,36,
14:8:42,50800,6997,2085,36,
14:8:42,50900,7014,2087,36,
14:8:42,51000,7024,2087,36,
14:8:43,51100,7036,2089,36,
14:8:43,51200,7050,2090,36,
14:8:43,51300,7063,2094,36,
