#section:000000000003, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
002606800,00030100,001601,21,000004,000003,0.00995759
002609300,00020101,001427,21,000002,000003,0.00894139
002625700,00030100,001662,21,000004,000003,0.010561
002643900,00030100,001677,21,000004,000003,0.0104865
002650300,00020101,001481,21,000002,000003,0.0089393
002664200,00030100,001477,51,000001,000003,0.0120083
002666600,00020101,001518,51,000001,000004,0.013036
002668900,00030100,001519,51,000001,000002,0.0135651
002732800,00030100,001680,21,000004,000003,0.00727123
002737100,00030100,001683,21,000004,000003,0.00861286
002747100,00030100,001688,21,000004,000003,0.00874531
002758700,00030100,001695,21,000004,000003,0.0100435
002760700,00030100,001699,21,000004,000003,0.00943714
002762700,00030100,001746,21,000004,000003,0.00910302
002764500,00020101,001573,21,000002,000003,0.00886032
002764700,00030100,001749,21,000004,000003,0.00903914
002775100,00030100,001760,21,000004,000003,0.0105128
002780600,00030100,001765,21,000004,000003,0.0104563
002782600,00030100,001767,21,000004,000003,0.00987524
002790900,00020101,001606,21,000002,000003,0.0088602
002793300,00020101,001613,21,000002,000003,0.00855438
002804200,00020101,001528,51,000001,000004,0.0120083
002806600,00020101,001611,51,000001,000003,0.0120937
002808900,00030100,001614,51,000001,000002,0.0134582
002810200,00020101,001697,51,000001,000003,0.0138015
002812600,00020101,001703,51,000001,000003,0.0133885
002815300,00020101,001705,22,000001,000004,0.0145559
002817500,00020101,001712,51,000001,000004,0.0139189
002818900,00030100,001739,51,000001,000003,0.0148389
002820000,00020101,001741,51,000001,000003,0.014551
002822900,00020101,001790,51,000001,000004,0.0149511
002825100,00020101,001792,22,000001,000004,0.0140875
002826300,00030100,001794,51,000001,000003,0.0152235
002829900,00020101,001798,51,000001,000004,0.0160086
002830600,00030100,001799,51,000001,000003,0.0154804
002832900,00020101,001801,51,000001,000004,0.0150719
002834300,00030100,001803,51,000001,000003,0.0155402
002837200,00030100,001806,51,000001,000002,0.0153671
002838700,00020101,001807,51,000001,000003,0.0155119
002841200,00030100,001811,51,000001,000003,0.0153281
002843500,00030100,001813,51,000001,000003,0.0144263
002847500,00020101,001816,51,000001,000003,0.0153001
002850100,00020101,001818,51,000001,000004,0.0149368
002851500,00030100,001819,51,000001,000003,0.0154623
002879100,00030100,001773,21,000004,000003,0.00905635
002881200,00030100,001776,21,000004,000003,0.00856857
002889500,00030100,001782,21,000004,000003,0.0102045
002900900,00030100,001839,21,000004,000003,0.0104434
002902900,00030100,001841,21,000004,000003,0.0097932
002904300,00020101,001665,21,000002,000003,0.0090028
002910800,00030100,001846,21,000004,000003,0.0104207
002914500,00030100,001849,21,000004,000003,0.010468
002929700,00020101,001694,21,000002,000003,0.00885611
002944200,00030100,001822,51,000001,000003,0.0120083
002946600,00020101,001820,51,000001,000004,0.013036
